,okpdtr,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,id,name,okz,okz_subgroup,description
1879,225245.0,62140.333333333336,57,35,371,207,98105.62640901768,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
1889,225673.0,35466.666666666664,15,12,501,231,95071.59307359306,907,Инженер по защите информации,2511,25,Специалисты высшего уровня квалификации осуществля
1942,228243.0,39390.653110047846,836,577,3068,1886,97672.56032956729,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
2178,243926.0,70000.0,4,2,514,55,98503.95757575764,1514,Научный сотрудник (в области информатики и вычислительной техники),2511,25,Специалисты высшего уровня квалификации осуществля
2291,253669.0,29000.0,2,2,8,5,95235.86666666667,1871,Оператор тележурналистского комплекса,3521,35,Специалисты среднего уровня квалификации выполняют
2345,258573.0,34882.211510492416,4813,3843,4499,2755,107034.35395469316,2042,Программист,2513,25,Специалисты высшего уровня квалификации осуществля
2428,266324.0,21727.272727272728,11,7,10,6,105496.88888888889,2270,Стажер-исследователь (в области информатики и вычислительной техники),2511,25,Специалисты высшего уровня квалификации осуществля
2452,269173.0,57170.17857142857,56,44,50,40,105299.7416666667,2339,Телеоператор,3521,35,Специалисты среднего уровня квалификации выполняют
2462,269652.0,27470.196666666667,300,206,25,22,102322.81818181816,2355,Техник вычислительного (информационно-вычислительного) центра,3512,35,Специалисты среднего уровня квалификации выполняют
2478,270325.0,25671.549019607843,102,82,21,20,101738.29999999999,2379,Техник по защите информации,3511,35,Специалисты среднего уровня квалификации выполняют
2485,270560.0,27444.444444444445,9,7,29,20,110426.26666666669,2394,"Техник по радионавигации, радиолокации и связи",3521,35,Специалисты среднего уровня квалификации выполняют
2490,270999.0,24698.257751937985,1032,784,211,182,103261.90077468775,2418,Техник-программист,3512,35,Специалисты среднего уровня квалификации выполняют
2641,400644.0,30778.28676470588,680,566,235,149,149090.4139345064,35,Администратор баз данных,2513,25,Специалисты высшего уровня квалификации осуществля
2642,400678.0,35319.80841121495,428,316,97,87,148022.20464172322,36,Администратор вычислительной сети,2511,25,Специалисты высшего уровня квалификации осуществля
2644,400700.0,41073.48192771084,83,68,25,21,160942.79365079364,41,Администратор информационной безопасности вычислительной сети,2513,25,Специалисты высшего уровня квалификации осуществля
2659,425251.0,54638.87962962963,108,73,473,236,166832.3440921394,886,Инженер по автоматизированным системам управления технологическими процессами,2511,25,Специалисты высшего уровня квалификации осуществля
2666,428438.0,40564.637602179835,734,512,103,90,164656.53485736944,1033,Инженер - системный программист,2513,25,Специалисты высшего уровня квалификации осуществля
