,Номер подгруппы,Название подгруппы
0,11,Руководители (предстваители) органов валсти и управления
1,12,"Руководители учреждений, организаций и предприятий и их структурных подразделений (служб)"
2,13,"Руководители малых учреждений, организаций и предприятий"
3,14,"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания"
4,21,Специалисты в области естественных и инженерных наук
5,22,"Специалисты в области биологических, сельскохозяйственных наук и здравоохранения"
6,23,Специалисты в области образования
7,24,Прочие специалисты высшего уровня квалификации
8,25,Специалисты по информационно-коммуникационным технологиям (ИКТ)
9,26,"Специалисты в области права, гуманитарных областей и культуры"
10,31,Специалисты среднего уровня квалификации физических и инженерных направлений деятельности
11,32,Специалисты среднего уровня квалификации и вспомогательный персонал естественных наук и здравоохранения
12,33,Специалисты среднего уровня квалификации в сфере образования
13,34,"Средний персонал в области финансово-эконосичекой, административной и социальной деятельности"
14,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ)
15,41,"Служащие, занятые подготовкой информации, оформлением документации и учетом"
16,42,Служащие сферы обслуживания
17,43,Служащие в сфере обработки числовой информации и учета материальных ценностей
18,44,Другие офисные служащие
19,51,Работники сферы индивидуальных услуг и защиты граждан и собственности
20,52,"Продавцы, демонстраторы товаров, натурщики и демонстраторы одежды"
21,53,Рабочие жилищно-коммунального хозяйства
22,54,Рабочие кино- и телеиндустрий
23,61,"Квалифицированные работники товарного сельскохозяйственного производства, лесного, охотничьего хозяйств, рыбоводства и рыболовства, имеющие рыночную ориентацию"
24,62,"Квалифицированные работники товарного сельскохозяйственного производства, лесного, охотничьего хозяйств, рыбоводства и рыболовства, производящие продукцию для личного потребления"
25,71,"Рабочие, занятые на горных, горнокапитальных и строительно-монтажных и ремнтно-строительных работах"
26,72,Рабочие металлообрабатывающей и машинностроительной промышленности
27,73,"Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов и других видов производств в художественное прпомышленности, рабочие полиграфического производства"
28,74,Другие профессии квалифицированных рабочих крупных и мелких промышленных предприятий
29,75,Профессии рабочих транспорта и связи
30,81,"Операторы, аппаратчики и машинисты промышленных установок"
31,82,"Операторы, аппаратчики, машинисты слесари-сборщики стационарного оборудования "
32,83,Водители и машинисты подвижного оборудования
33,91,"Неквалифицированные рабочие сферы обслуживания, жилищно-коммунального хозяйства, торговли родственных видов деятельности"
34,92,"Неквалифицированные рабочие сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
35,93,"Неквалифицированные рабочие, занятые в промышленности, строительстве, на траспорте, в связи, геологии и разведке недр"
36,96,Неквалифицированные работники по сбору мусора и другие неквалифицированные работники
